train_loss,train_error,test_loss,test_error,epoch
7.21239347512892e-06,0.003558339365758002,4.288661813685423e-06,0.002535338809211103,0
3.7858052101000794e-06,0.0020946446028538047,4.311327627094995e-06,0.0025239367082360246,1
3.0515952239511535e-06,0.0015644905196968465,4.396421539399492e-06,0.002479202321006192,2
2.6563821693343926e-06,0.0013056574768852442,4.82638713745271e-06,0.0026471730994267594,3
2.4483334436808944e-06,0.0011767938921693713,4.497345560680731e-06,0.0024599068897909354,4
2.3519781625509495e-06,0.001117998234461993,4.666153689045348e-06,0.0025787571674242378,5
2.235427882624208e-06,0.0010540081155486405,4.495704175381448e-06,0.0024261372459549752,6
2.187979879181512e-06,0.0010314623021986337,4.534093636360171e-06,0.0025033237789535805,7
2.1277869382174685e-06,0.0009943291950039565,4.422167555117445e-06,0.0023502648774800555,8
2.080041787849041e-06,0.0009596262453123927,4.446655887636192e-06,0.002334915450774133,9
