train_loss,train_error,test_loss,test_error,epoch
9.012576680106577e-06,0.003693822751753032,6.687468482726087e-06,0.0025861393697264178,0
5.639082693960517e-06,0.0020695446142926814,6.653933507463773e-06,0.002681337773711199,1
4.468273020393099e-06,0.0014899684169795363,5.300306586125063e-06,0.001897308628060042,2
4.020690563265816e-06,0.001302174857351929,4.870734192947912e-06,0.001712975781484847,3
3.8804217001597865e-06,0.001225926143117249,5.581599705490387e-06,0.00208346163558345,4
3.785638199587993e-06,0.001172751511214301,5.614070478114872e-06,0.0021471300472815833,5
3.6565968175636954e-06,0.0011252300736960023,5.586007809763523e-06,0.002135609280288456,6
3.8057341907915544e-06,0.001179169303039089,5.286227723633009e-06,0.0018627490545253431,7
3.781211130444717e-06,0.0011527343625202776,6.106936787488401e-06,0.0023817953927117207,8
3.716065404660185e-06,0.001112546647898853,5.829498676907933e-06,0.002230808255262673,9
